source,author,title,description,url,publishedAt
"{'id': 'nbc-news', 'name': 'NBC News'}",Dartunorro Clark,"Donald Trump Jr. tests positive for Covid-19, according to spokesperson","Donald Trump Jr., the president's eldest son, has tested positive for coronavirus, a spokesperson told NBC News on Friday.",https://www.nbcnews.com/politics/politics-news/donald-trump-jr-tests-positive-covid-19-according-spokesperson-n1248475,2020-11-21T00:21:48Z
"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",ABC News,South Australia records just one new coronavirus case but cluster still 'very dangerous',South Australian Premier Steven Marshall says there have been no cases of community transmission from Adelaide's coronavirus outbreak — and that all known cases so far have been traced to close contacts.,http://www.abc.net.au/news/2020-11-21/one-new-case-in-very-dangerous-sa-coronavirus-cluster/12907242,2020-11-21T00:21:05Z
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Donald Trump Jr tests positive for coronavirus,The president's son is said to be quarantining at his cabin after being diagnosed this week.,http://www.bbc.co.uk/news/election-us-2020-55024888,2020-11-20T23:37:19.7274556Z
"{'id': 'fortune', 'name': 'Fortune'}","Ellen McGirt, Aric Jenkins",Dolly Parton loves you,"Already admired by many, the country legend has now gone and donated $1 million for a coronavirus vaccine.",https://fortune.com/2020/11/20/dolly-parton-loves-you/,2020-11-20T23:28:31Z
"{'id': 'cnn', 'name': 'CNN'}","Kaitlan Collins, CNN",Donald Trump Jr. tests positive for coronavirus,"Donald Trump Jr., President Donald Trump's eldest son, has tested positive for the coronavirus, a spokesman told CNN on Friday.",http://us.cnn.com/2020/11/20/politics/donald-trump-jr-coronavirus/index.html,2020-11-20T23:26:41Z
"{'id': 'the-hill', 'name': 'The Hill'}",Tal Axelrod,Donald Trump Jr. tests positive for COVID-19 | TheHill,"Donald Trump Jr., the president’s eldest son, tested positive for the coronavirus earlier this week, a spokesman confirmed to The Hill.",http://thehill.com/homenews/administration/526967-donald-trump-jr-tests-positive-for-covid-19,2020-11-20T23:18:21Z
"{'id': 'axios', 'name': 'Axios'}",Jacob Knutson,Donald Trump Jr. tests positive for coronavirus,He is not currently experiencing symptoms.,https://www.axios.com/donald-trump-jr-coronavirus-positive-0ed695d5-76f0-41aa-8fa2-3b025aafd16c.html,2020-11-20T23:17:43Z
"{'id': 'google-news-au', 'name': 'Google News (Australia)'}","Kaitlan Collins and Veronica Stracqualursi, CNN",Donald Trump Jr. tests positive for coronavirus,"Donald Trump Jr., President Donald Trump's eldest son, has tested positive for the coronavirus, a personal spokesman told CNN on Friday.",https://www.cnn.com/2020/11/20/politics/donald-trump-jr-coronavirus/index.html,2020-11-20T23:17:34+00:00
"{'id': 'associated-press', 'name': 'Associated Press'}",JONATHAN LEMIRE ,Spokesman: Trump's eldest son tests positive for coronavirus,"WASHINGTON (AP) — Donald Trump Jr., the eldest son of President Donald Trump, was quarantining Friday after learning he has been infected with the coronavirus, a spokesperson said.The...",https://apnews.com/0ffe6e4835b6e8fe77c3016024ebba93,2020-11-20T23:13:21Z
"{'id': 'independent', 'name': 'Independent'}",Andrew Buncombe,Donald Trump Jr tests positive for coronavirus,President’s oldest son is latest of dozens associated with White House and Trump campaign to be infected,http://www.independent.co.uk/news/world/americas/us-politics/donald-trump-jr-tests-positive-coronavirus-covid-b1759483.html,2020-11-20T23:13:03Z
